route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__194_A__,CRTM,194A,BUITRAGO-LOZOYUELA-RASCAFRÍA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__194_A__.aspx,8EBF42,FFFFFF
8__195___,CRTM,195,MADRID (Plaza de Castilla)-BRAOJOS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__195___.aspx,8EBF42,FFFFFF
8__195_A__,CRTM,195A,CIRCULAR BUITRAGO-GARGANTILLA (Por Lozoyuela),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__195_A__.aspx,8EBF42,FFFFFF
8__195_B__,CRTM,195B,CIRCULAR BUITRAGO-GARGANTILLA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__195_B__.aspx,8EBF42,FFFFFF
8__196___,CRTM,196,MADRID (Plaza de Castilla)-LA ACEBEDA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__196___.aspx,8EBF42,FFFFFF
8__197___,CRTM,197,MADRID (Plaza de Castilla)-TORRELAGUNA/UCEDA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__197___.aspx,8EBF42,FFFFFF
8__197_A__,CRTM,197A,TORRELAGUNA-PATONES-UCEDA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__197_A__.aspx,8EBF42,FFFFFF
8__197_B__,CRTM,197B,TORRELAGUNA-EL BERRUECO-LA CABRERA-VALDEMANCO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__197_B__.aspx,8EBF42,FFFFFF
8__197_C__,CRTM,197C,TORRELAGUNA-VENTURADA/CABANILLAS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__197_C__.aspx,8EBF42,FFFFFF
8__197_D__,CRTM,197D,TORRELAGUNA-EL VELLÓN-EL MOLAR,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__197_D__.aspx,8EBF42,FFFFFF
8__197_E__,CRTM,197E,TORRELAGUNA-VALDEPIÉLAGOS-TALAMANCA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__197_E__.aspx,8EBF42,FFFFFF
8__199_A__,CRTM,199A,BUITRAGO - MONTEJO - MANJIRÓN - BUITRAGO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__199_A__.aspx,8EBF42,FFFFFF
8__210___,CRTM,210,S. S. DE LOS REYES (Hospital)-PARACUELLOS DE JARAMA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__210___.aspx,8EBF42,FFFFFF
8__211___,CRTM,211,MADRID (Canillejas)-PARACUELLOS-BELVIS,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__211___.aspx,8EBF42,FFFFFF
8__212___,CRTM,212,MADRID (CANILLEJAS) - BARAJAS - PARACUELLOS - MIRAMADRID,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__212___.aspx,8EBF42,FFFFFF
8__220___,CRTM,220,TORREJÓN DE ARDOZ-SAN FERNANDO DE HENARES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__220___.aspx,8EBF42,FFFFFF
